iso3,any_cov,bureau_cov,registry_cov,depth_credit_info_0_8,legal_rights_0_12,lowcov2019_z,lowbureau2019_z,lowregistry2019_z,lowdepth2019_z,lowrights2019_z,lowcov2019_bmedian,gdp_pc_year,gdp_pc,privcredit_gdp_year,privcredit_gdp,acct_own_rate,lgdppc
MRT,8.4,0,8.4,6,2,1.04226506152868,0.956229552136382,0.315085685378638,-0.0377619378691202,1.2571730351812,1,2023,2127.9576285973,2019,22.7235411550392,0.273142609920985,7.66291793888985
MUS,100,0,100,7,6,-1.84377754776285,0.956229552136382,-3.49700490793056,-0.404052735199587,-0.0130955524498041,0,2023,11269.9684462139,2023,69.8939504735845,0.89506701621807,9.32989680722634
MWI,40.2,40.2,0,7,11,0.0403419722768208,-0.236388876010302,0.664666045463761,-0.404052735199587,-1.60093128698856,1,2023,633.214767978695,2023,7.74778352972302,0.124260671034893,6.45080965050604
MYS,89.1,89.1,64.9,8,7,-1.50035108006331,-1.68711129233799,-2.03625840328915,-0.770343532530054,-0.330662699357556,0,2023,11386.0395636528,2023,117.099430029325,0.872483799169587,9.3401432842681
NAM,62.7,62.7,0,7,5,-0.66856587389195,-0.903899190271506,0.664666045463761,-0.404052735199587,0.304471594457948,0,2023,4225.99102418102,2023,56.0667902333982,0.627074634074352,8.34900907422226
NER,6.2,6.2,0,8,6,1.1115804953763,0.772293376651073,0.664666045463761,-0.770343532530054,-0.0130955524498041,1,2023,647.930108509567,2023,10.8999517922152,0.126901835991742,6.47378283329694
NGA,13.9,13.9,4.8,8,9,0.868976476909651,0.54385651354835,0.464905839700833,-0.770343532530054,-0.965796993173059,1,2023,2138.76383718757,2022,9.5616917667191,0.597390016772447,7.66798329494004
NIC,56.6,56.6,12.9,8,2,-0.47637308004175,-0.722929727294024,0.127810492475893,-0.770343532530054,1.2571730351812,0,2023,2609.44491147975,2023,30.0090036209487,0.20811712252713,7.86689280010369
NPL,7.3,7.3,0,5,10,1.07692277845249,0.739659539064969,0.664666045463761,0.328528859461347,-1.28336414008081,1,2023,1382.38300895424,2023,91.5572641444323,0.575256880551031,7.23156410699787
OMN,27.1,0,27.1,6,1,0.453083873823972,0.956229552136382,-0.4631467829061,-0.0377619378691202,1.57474018208895,1,2023,21027.7384572657,2023,59.7528169989934,0.728988541863901,9.95359772402985
